State,,District,GAUL_CODE,GAUL_NAME
Orissa,1504,Mayurbhanj,17816,Mayurbhanj
Orissa,1504,Nabarangpur,70221,Nabarangpur
Orissa,1504,Nayagarh,70222,Nayagarh
Orissa,1504,Nuapada,70223,Nuapada
Orissa,1504,Puri,17818,Puri
Orissa,1504,Rayagada,70224,Rayagada
Orissa,1504,Sambalpur,17819,Sambalpur
Orissa,1504,Sonepur,70225,Sonepur
Orissa,1504,Sundargarh,17820,Sundargarh
Puducherry,70080,Karaikal,70226,Karaikal
Puducherry,70080,Mahe,70227,Mahe
Puducherry,70080,Pondy (District),70228,Puducherry
Puducherry,70080,Yanam,70229,Yanam
Punjab,1505,Amritsar,17821,Amritsar
Punjab,1505,Barnala,17833,Sangrur
Punjab,1505,Bathinda,17822,Bathinda
Punjab,1505,Faridkot,70230,Faridkot
Punjab,1505,Fatehgarh Sahib,70231,Fatehgarh Sahib
Punjab,1505,Fazilka,17825,Firozpur
Punjab,1505,Firozpur,17825,Firozpur
Punjab,1505,Gurdaspur,457,Gurdaspur
Punjab,1505,Hoshiarpur,17827,Hoshiarpur
Punjab,1505,Jalandhar,17828,Jalandhar
Punjab,1505,Kapurthala,17829,Kapurthala
Punjab,1505,Ludhiana,17830,Ludhiana
Punjab,1505,Mansa,70232,Mansa
Punjab,1505,Moga,70233,Moga
Punjab,1505,Muktsar,70234,Muktsar
Punjab,1505,Nawan Shehar,70235,Nawan Shehar
Punjab,1505,Pathankot,457,Gurdaspur
Punjab,1505,Patiala,17831,Patiala
Punjab,1505,Rupnagar,17832,Rupnagar
Punjab,1505,Sahibzada Ajit Singh Nagar,17831,Patiala
Punjab,1505,Sangrur,17833,Sangrur
Punjab,1505,Tarn Taran,17821,Amritsar
Rajasthan,1506,Ajmer,17834,Ajmer
Rajasthan,1506,Alwar,17835,Alwar
Rajasthan,1506,Banswara,17836,Banswara
Rajasthan,1506,Baran,70236,Baran
Rajasthan,1506,Barmer,17837,Barmer
Rajasthan,1506,Bharatpur,17838,Bharatpur
Rajasthan,1506,Bhilwara,17839,Bhilwara
Rajasthan,1506,Bikaner,17840,Bikaner
Rajasthan,1506,Bundi,17841,Bundi
Rajasthan,1506,Chittaurgarh,17842,Chittaurgarh
Rajasthan,1506,Churu,17843,Churu
Rajasthan,1506,Dausa,70237,Dausa
Rajasthan,1506,Dhaulpur,17844,Dhaulpur
Rajasthan,1506,Dungarpur,17845,Dungarpur
Rajasthan,1506,Ganganagar,17846,Ganganagar
Rajasthan,1506,Hanumangarh,70238,Hanumangarh
Rajasthan,1506,Jaipur,17847,Jaipur
Rajasthan,1506,Jaisalmer,17848,Jaisalmer
Rajasthan,1506,Jalor,17849,Jalor
Rajasthan,1506,Jhalawar,17850,Jhalawar
Rajasthan,1506,Jhunjhunun,17851,Jhunjhunun
Rajasthan,1506,Jodhpur,17852,Jodhpur
Rajasthan,1506,Karauli,70239,Karauli
Rajasthan,1506,Kota,17853,Kota
Rajasthan,1506,Nagaur,17854,Nagaur
Rajasthan,1506,Pali,17855,Pali
Rajasthan,1506,Pratapgarh,NA,NA
Rajasthan,1506,Rajsamand,70240,Rajsamand
Rajasthan,1506,Sawai Madhopur,17856,Sawai Madhopur
Rajasthan,1506,Sikar,17857,Sikar
Rajasthan,1506,Sirohi,17858,Sirohi
Rajasthan,1506,Tonk,17859,Tonk
Rajasthan,1506,Udaipur,17860,Udaipur
Sikkim,1507,North Sikkim,17862,North Sikkim
Sikkim,1507,West Sikkim,17864,West Sikkim
Sikkim,1507,South Sikkim,17863,South Sikkim
Sikkim,1507,East,17861,East
Tamil Nadu,1508,Ariyalur,70241,Ariyalur
Tamil Nadu,1508,Chennai,70242,Chennai
Tamil Nadu,1508,Coimbatore,17867,Coimbatore
Tamil Nadu,1508,Cuddalore,70243,Cuddalore
Tamil Nadu,1508,Dharmapuri,17868,Dharmapuri
Tamil Nadu,1508,Dindigul,17877,Dindigul
Tamil Nadu,1508,Erode,17875,Erode
Tamil Nadu,1508,Kancheepuram,70244,Kancheepuram
Tamil Nadu,1508,Kanniyakumari,17870,Kanniyakumari
Tamil Nadu,1508,Karur,70245,Karur
Tamil Nadu,1508,Krishnagiri,17868,Dharmapuri
Tamil Nadu,1508,Madurai,70246,Madurai
Tamil Nadu,1508,Nagapattinam,70247,Nagapattinam
Tamil Nadu,1508,Namakkal,70248,Namakkal
Tamil Nadu,1508,Nilgiris,17873,Nilgiris
Tamil Nadu,1508,Perambalur,70249,Perambalur
Tamil Nadu,1508,Pudukkottai,17876,Pudukkottai
Tamil Nadu,1508,Ramanathapuram,17878,Ramanathapuram
Tamil Nadu,1508,Salem,17879,Salem
Tamil Nadu,1508,Sivaganga,17882,Sivaganga
Tamil Nadu,1508,Thanjavur,17881,Thanjavur
Tamil Nadu,1508,Theni,70250,Theni
Tamil Nadu,1508,Thiruvallur,70251,Thiruvallur
Tamil Nadu,1508,Thiruvarur,70252,Thiruvarur
Tamil Nadu,1508,Thoothukudi,17866,Thoothukudi
Tamil Nadu,1508,Tiruchchirappalli,17883,Tiruchchirappalli
Tamil Nadu,1508,Tirunelveli Kattabo,17884,Tirunelveli Kattabo
Tamil Nadu,1508,Tiruppur,NA,NA
Tamil Nadu,1508,Tiruvannamalai,70253,Tiruvannamalai
Tamil Nadu,1508,Vellore,70254,Vellore
Tamil Nadu,1508,Villupuram,70255,Villupuram
Tamil Nadu,1508,Virudhunagar,17869,Virudhunagar
Tripura,1509,North Tripura,17885,North Tripura
Tripura,1509,Dhalai,70256,Dhalai
Tripura,1509,West Tripura,17887,West Tripura
