"ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","ADM2_CODE","ADM2_NAME"
115,"India",1500,"Manipur",70193,"Tamenglong"
115,"India",1500,"Manipur",70194,"Thoubal"
115,"India",1500,"Manipur",70195,"Ukhrul"
115,"India",1500,"Manipur",70196,"West Imphal"
115,"India",1501,"Meghalaya",17793,"East Garo Hills"
115,"India",1501,"Meghalaya",17794,"East Khasi Hills"
115,"India",1501,"Meghalaya",17795,"Jaintia Hills"
115,"India",1501,"Meghalaya",70197,"Ri-Bhoi"
115,"India",1501,"Meghalaya",70198,"South Garo Hills"
115,"India",1501,"Meghalaya",17796,"West Garo Hills"
115,"India",1501,"Meghalaya",17797,"West Khasi Hills"
115,"India",1502,"Mizoram",17798,"Aizawl"
115,"India",1502,"Mizoram",70199,"Champhai"
115,"India",1502,"Mizoram",70200,"Kolasib"
115,"India",1502,"Mizoram",70201,"Lawngtlai"
115,"India",1502,"Mizoram",17800,"Lunglei"
115,"India",1502,"Mizoram",70202,"Mamit"
115,"India",1502,"Mizoram",70203,"Saiha"
115,"India",1502,"Mizoram",70204,"Serchhip"
115,"India",1503,"Nagaland",70205,"Dimapur"
115,"India",1503,"Nagaland",17801,"Kohima"
115,"India",1503,"Nagaland",17802,"Mokokchung"
115,"India",1503,"Nagaland",17803,"Mon"
115,"India",1503,"Nagaland",17804,"Phek"
115,"India",1503,"Nagaland",17805,"Tuensang"
115,"India",1503,"Nagaland",17806,"Wokha"
115,"India",1503,"Nagaland",17807,"Zunheboto"
115,"India",1504,"Orissa",70206,"Angul"
115,"India",1504,"Orissa",70207,"Baleshwar"
115,"India",1504,"Orissa",70208,"Baragarh"
115,"India",1504,"Orissa",70209,"Bhadrak"
115,"India",1504,"Orissa",70210,"Bolangir"
115,"India",1504,"Orissa",70211,"Boudh"
115,"India",1504,"Orissa",17809,"Cuttack"
115,"India",1504,"Orissa",70212,"Deogarh"
115,"India",1504,"Orissa",17810,"Dhenkanal"
115,"India",1504,"Orissa",70213,"Gajapati"
115,"India",1504,"Orissa",17811,"Ganjam"
115,"India",1504,"Orissa",70214,"Jagatsinghpur"
115,"India",1504,"Orissa",70215,"Jajpur"
115,"India",1504,"Orissa",70216,"Jharsuguda"
115,"India",1504,"Orissa",17812,"Kalahandi"
115,"India",1504,"Orissa",70217,"Kandhamal"
115,"India",1504,"Orissa",70218,"Kendrapara"
115,"India",1504,"Orissa",17813,"Keonjhar"
115,"India",1504,"Orissa",70219,"Khordha"
115,"India",1504,"Orissa",17814,"Koraput"
115,"India",1504,"Orissa",70220,"Malkangiri"
115,"India",1504,"Orissa",17816,"Mayurbhanj"
115,"India",1504,"Orissa",70221,"Nabarangpur"
115,"India",1504,"Orissa",70222,"Nayagarh"
115,"India",1504,"Orissa",70223,"Nuapada"
115,"India",1504,"Orissa",17818,"Puri"
115,"India",1504,"Orissa",70224,"Rayagada"
115,"India",1504,"Orissa",17819,"Sambalpur"
115,"India",1504,"Orissa",70225,"Sonepur"
115,"India",1504,"Orissa",17820,"Sundargarh"
115,"India",70080,"Puducherry",70226,"Karaikal"
115,"India",70080,"Puducherry",70227,"Mahe"
115,"India",70080,"Puducherry",70228,"Puducherry"
115,"India",70080,"Puducherry",70229,"Yanam"
115,"India",1505,"Punjab",17821,"Amritsar"
115,"India",1505,"Punjab",17822,"Bathinda"
115,"India",1505,"Punjab",70230,"Faridkot"
115,"India",1505,"Punjab",70231,"Fatehgarh Sahib"
115,"India",1505,"Punjab",17825,"Firozpur"
115,"India",1505,"Punjab",457,"Gurdaspur"
115,"India",1505,"Punjab",17827,"Hoshiarpur"
115,"India",1505,"Punjab",17828,"Jalandhar"
115,"India",1505,"Punjab",17829,"Kapurthala"
115,"India",1505,"Punjab",17830,"Ludhiana"
115,"India",1505,"Punjab",70232,"Mansa"
115,"India",1505,"Punjab",70233,"Moga"
115,"India",1505,"Punjab",70234,"Muktsar"
115,"India",1505,"Punjab",70235,"Nawan Shehar"
115,"India",1505,"Punjab",17831,"Patiala"
115,"India",1505,"Punjab",17832,"Rupnagar"
115,"India",1505,"Punjab",17833,"Sangrur"
115,"India",1506,"Rajasthan",17834,"Ajmer"
115,"India",1506,"Rajasthan",17835,"Alwar"
115,"India",1506,"Rajasthan",17836,"Banswara"
115,"India",1506,"Rajasthan",70236,"Baran"
115,"India",1506,"Rajasthan",17837,"Barmer"
115,"India",1506,"Rajasthan",17838,"Bharatpur"
115,"India",1506,"Rajasthan",17839,"Bhilwara"
115,"India",1506,"Rajasthan",17840,"Bikaner"
115,"India",1506,"Rajasthan",17841,"Bundi"
115,"India",1506,"Rajasthan",17842,"Chittaurgarh"
115,"India",1506,"Rajasthan",17843,"Churu"
115,"India",1506,"Rajasthan",70237,"Dausa"
115,"India",1506,"Rajasthan",17844,"Dhaulpur"
